x,y,z
0.8,-0.7,0.860766
0.9,-0.7,0.520945
1.0,-0.7,0.290575
1.1,-0.7,0.148679
1.2,-0.7,0.0694931
1.3,-0.7,0.0295609
1.4,-0.7,0.0114072
1.5,-0.7,0.00398233
-1.5,-0.6,0.00787884
-1.4,-0.6,0.0218138
-1.3,-0.6,0.0546287
-1.2,-0.6,0.124104
-1.1,-0.6,0.256632
-1.0,-0.6,0.484973
-0.9,-0.6,0.841337
-0.8,-0.6,1.34665
-0.7,-0.6,1.99965
-0.6,-0.6,2.7706
-0.5,-0.6,3.60299
-0.4,-0.6,4.42271
-0.3,-0.6,5.15123
-0.2,-0.6,5.71799
-0.1,-0.6,6.06917
0.0,-0.6,6.17231
0.1,-0.6,6.01806
0.2,-0.6,5.62045
0.3,-0.6,5.01641
0.4,-0.6,4.26359
0.5,-0.6,3.435
0.6,-0.6,2.60936
0.7,-0.6,1.85824
0.8,-0.6,1.23334
0.9,-0.6,0.75856
1.0,-0.6,0.430006
1.1,-0.6,0.223559
1.2,-0.6,0.106128
1.3,-0.6,0.045826
1.4,-0.6,0.0179391
1.5,-0.6,0.00634867
-1.5,-0.5,0.0115983
-1.4,-0.5,0.0317213
-1.3,-0.5,0.0784227
-1.2,-0.5,0.175769
-1.1,-0.5,0.358406
-1.0,-0.5,0.667603
-0.9,-0.5,1.14134
-0.8,-0.5,1.8004
-0.7,-0.5,2.63568
-0.6,-0.5,3.60299
-0.5,-0.5,4.62812
-0.4,-0.5,5.62048
-0.3,-0.5,6.48934
-0.2,-0.5,7.15726
-0.1,-0.5,7.56772
0.0,-0.5,7.6878
0.1,-0.5,7.50815
0.2,-0.5,7.0428
0.3,-0.5,6.32944
0.4,-0.5,5.42911
0.5,-0.5,4.42272
0.6,-0.5,3.40219
0.7,-0.5,2.45615
0.8,-0.5,1.65369
0.9,-0.5,1.03207
1.0,-0.5,0.593661
1.1,-0.5,0.313107
1.2,-0.5,0.150723
1.3,-0.5,0.0659591
1.4,-0.5,0.0261521
1.5,-0.5,0.00936791
-1.5,-0.4,0.0158424
-1.4,-0.4,0.0428803
-1.3,-0.4,0.10485
-1.2,-0.4,0.232301
-1.1,-0.4,0.468003
-1.0,-0.4,0.860975
-0.9,-0.4,1.45343
-0.8,-0.4,2.26388
-0.7,-0.4,3.27349
-0.6,-0.4,4.42271
-0.5,-0.4,5.62048
-0.4,-0.4,6.76216
-0.3,-0.4,7.74835
-0.2,-0.4,8.49831
-0.1,-0.4,8.95578
0.0,-0.4,9.08912
0.1,-0.4,8.88954
0.2,-0.4,8.37028
0.3,-0.4,7.56776
0.4,-0.4,6.54329
0.5,-0.4,5.38203
0.6,-0.4,4.18575
0.7,-0.4,3.05795
0.8,-0.4,2.08465
0.9,-0.4,1.31762
1.0,-0.4,0.767541
1.1,-0.4,0.409853
1.2,-0.4,0.199669
1.3,-0.4,0.0883851
1.4,-0.4,0.0354272
1.5,-0.4,0.0128216
-1.5,-0.3,0.0201174
-1.4,-0.3,0.0539994
-1.3,-0.3,0.130878
-1.2,-0.3,0.287282
