x,y,z
1.1,0.0,0.0712093
1.2,0.0,0.0
1.3,0.0,0.0
1.4,0.0,0.0
1.5,0.0,0.0
-1.5,0.1,0.0
-1.4,0.1,0.0
-1.3,0.1,0.0
-1.2,0.1,0.0
-1.1,0.1,0.0671028
-1.0,0.1,0.454991
-0.9,0.1,1.17984
-0.8,0.1,2.19459
-0.7,0.1,3.4503
-0.6,0.1,4.89671
-0.5,0.1,6.45005
-0.4,0.1,7.80938
-0.3,0.1,8.86821
-0.2,0.1,9.62452
-0.1,0.1,10.0783
0.0,0.1,10.2296
0.1,0.1,10.0783
0.2,0.1,9.62452
0.3,0.1,8.86821
0.4,0.1,7.80938
0.5,0.1,6.45005
0.6,0.1,4.89671
0.7,0.1,3.4503
0.8,0.1,2.19459
0.9,0.1,1.17984
1.0,0.1,0.454991
1.1,0.1,0.0671028
1.2,0.1,0.0
1.3,0.1,0.0
1.4,0.1,0.0
1.5,0.1,0.0
-1.5,0.2,0.0
-1.4,0.2,0.0
-1.3,0.2,0.0
-1.2,0.2,0.0
-1.1,0.2,0.0550688
-1.0,0.2,0.380354
-0.9,0.2,1.03195
-0.8,0.2,1.97317
-0.7,0.2,3.15534
-0.6,0.2,4.52843
-0.5,0.2,6.0144
-0.4,0.2,7.3556
-0.3,0.2,8.41443
-0.2,0.2,9.17074
-0.1,0.2,9.62452
0.0,0.2,9.77578
0.1,0.2,9.62452
0.2,0.2,9.17074
0.3,0.2,8.41443
0.4,0.2,7.3556
0.5,0.2,6.0144
0.6,0.2,4.52843
0.7,0.2,3.15534
0.8,0.2,1.97317
0.9,0.2,1.03195
1.0,0.2,0.380354
1.1,0.2,0.0550688
1.2,0.2,0.0
1.3,0.2,0.0
1.4,0.2,0.0
1.5,0.2,0.0
-1.5,0.3,0.0
-1.4,0.3,0.0
-1.3,0.3,0.0
-1.2,0.3,0.0
-1.1,0.3,0.0374473
-1.0,0.3,0.285294
-0.9,0.3,0.818714
-0.8,0.3,1.63752
-0.7,0.3,2.69712
-0.6,0.3,3.94794
-0.5,0.3,5.32161
-0.4,0.3,6.60719
-0.3,0.3,7.65812
-0.2,0.3,8.41443
-0.1,0.3,8.86821
0.0,0.3,9.01947
0.1,0.3,8.86821
0.2,0.3,8.41443
0.3,0.3,7.65812
0.4,0.3,6.60719
0.5,0.3,5.32161
0.6,0.3,3.94794
0.7,0.3,2.69712
0.8,0.3,1.63752
0.9,0.3,0.818714
1.0,0.3,0.285294
1.1,0.3,0.0374473
1.2,0.3,0.0
1.3,0.3,0.0
1.4,0.3,0.0
1.5,0.3,0.0
-1.5,0.4,0.0
-1.4,0.4,0.0
-1.3,0.4,0.0
-1.2,0.4,0.0
-1.1,0.4,0.019275
-1.0,0.4,0.188886
-0.9,0.4,0.58966
-0.8,0.4,1.24168
-0.7,0.4,2.12985
-0.6,0.4,3.20935
-0.5,0.4,4.42215
-0.4,0.4,5.60402
-0.3,0.4,6.60719
-0.2,0.4,7.3556
-0.1,0.4,7.80938
0.0,0.4,7.96064
0.1,0.4,7.80938
0.2,0.4,7.3556
0.3,0.4,6.60719
0.4,0.4,5.60402
0.5,0.4,4.42215
0.6,0.4,3.20935
0.7,0.4,2.12985
0.8,0.4,1.24168
0.9,0.4,0.58966
1.0,0.4,0.188886
1.1,0.4,0.019275
1.2,0.4,0.0
1.3,0.4,0.0
1.4,0.4,0.0
1.5,0.4,0.0
-1.5,0.5,0.0
-1.4,0.5,0.0
